한글명,IATA코드,국가명_영문,국가명_한글,도시명_영문
홍콩 국제공항 ,HKG,Hong Kong,홍콩,Hong Kong
막탄 국제공항,CEB,Philippines,필리핀,Lapu-Lapu
니노이 아퀴노 국제공항,MNL,Philippines,필리핀,Manila
나디 국제공항,NAN,Fiji,피지,Nadi
샤를드골 국제 공항,CDG,France,프랑스,Paris
루이즈 뮈노스 마랭 국제공항,SJU,Puerto Rico,푸에르토리코,San Juan
바르샤바 공항,WAW,Poland,폴란드,Warsaw
훌리아카 공항,JUL,Peru,페루,Juliaca
페샤와르 국제공항,PEW,Pakistan,파키스탄,Peshawar
토쿠먼 국제 공항 ,PTY,Panama,파나마,Panama City
크라운 포인트 국제공항,TAB,Trinidad And Tobago,트리니다드토바고,Tobago
튀니스 카르타쥐 국제공항,TUN,Tunisia,튀니지,Tunis
후아모투 국제공항,TBU,Tonga,통가,NukuAlofa
카이세리 얼카일렛 국제공항,ASR,Turkey,터키,Kayseri
수완나푸미 국제공항 ,BKK,Thailand,태국,Bangkok
치앙마이 국제공항,CNX,Thailand,태국,Chiang Mai
치앙라이 국제공항,CEI,Thailand,태국,Chiang Rai
푸케트 섬 국제공항,HKT,Thailand,태국,Phuket
킬리만자로 국제공항 ,JRO,Tanzania,탄자니아,Kilimanjaro
라르나카 /라나카 국제공항,LCA,Cyprus,키프러스,Larnaca
만사스 국제공항,FRU,Kyrgyzstan,키르기스스탄,Bishkek
하토 국제공항 ,CUR,Curacao,퀴라소,Curagao
라로통가 국제공항,RAR,Cook Islands,쿡 군도,Rarotonga
쿠웨이트 국제공항,KWI,Kuwait,쿠웨이트,Kuwait
호세 마르티 국제공항,HAV,Cuba,쿠바,Havana
호세 마리아 코르도바 국제공항,MDE,Colombia,콜롬비아,Medellin
코코스 킬링 아일랜드 국제공항,CCK,Cocos (keeling) Island,코코스제도,West Island
후안 산타마리아 국제공항,SJO,Costa Rica,코스타리카,San Jose
프리스티나 국제공항 아뎀 자샤리,PRN,Kosovo,코소보,Vrelle/Lipjan
캘거리 국제공항,YYC,Canada,캐나다,Calgary AB
핼리팩스 로버트 스탠필드 국제공항,YHZ,Canada,캐나다,Halifax NS
런던 국제공항,YXU,Canada,캐나다,London ON
피어슨 국제공항,YYZ,Canada,캐나다,Toronto ON
밴쿠버 국제공항,YVR,Canada,캐나다,Vancouver BC
에릭 닐슨 화이트호스 국제공항,YXY,Canada,캐나다,Whitehorse YT
위니펙 제임스 암스트롱 리챠슨 국제공항,YWG,Canada,캐나다,Winnipeg MB
앙코르 국제공항,REP,Cambodia,캄보디아,Siem Reap
시하눅빌 국제 공항,KOS,Cambodia,캄보디아,Sihanouk Ville
도하 국제공항,DOH,Qatar,카타르,Doha
아스타나 국제공항,TSE,Kazakhstan,카자흐스탄,Astana
두알라 국제공항,DLA,Cameroon,카메룬,Douala
마타버리 국제공항,IPC,Chile,칠레,Easter Island
카를로비바리 국제공항,KLV,Czech Republic,체코 공화국,Karlovy Vary
조슈아 쿠브쿠 코모 국제공항,BUQ,Zimbabwe,짐바브웨,Bulawayo
하라레 국제공항,HRE,Zimbabwe,짐바브웨,Harare
방기 음포코 국제공항,BGF,Central African Republic,중앙아프리카공화국,Bangui
충칭 지엥바이 국제공항,CKG,China,중국,Chongqing
다롄 쩌우쉬이지 국제공항,DLC,China,중국,Dalian
Erenhot Saiwusu 국제 공항,ERL,China,중국,Erlianhaote
구이린 리엥쟝 국제공항,KWL,China,중국,Guilin
하이커우 메일런 국제공항,HAK,China,중국,Haikou
항저우 지오샨 국제공항,HGH,China,중국,Hangzhou
푸동 국제공항,PVG,China,중국,Shanghai
하얼빈 타이팽 국제공항,HRB,China,중국,Harbin
트빌리시 국제공항 ,TBS,Georgia,조지아,Tbilisi
루사카 국제공항,LUN,Zambia,잠비아,Lusaka
상스터 국제공항,MBJ,Jamaica,자메이카,Montego Bay
히로시마 국제공항,HIJ,Japan,일본,Hiroshima
주부 센트에어 국제공항 ,NGO,Japan,일본,Nagoya
간사이 국제공항,KIX,Japan,일본,Osaka
동경국제공항 ,HND,Japan,일본,Tokyo
세펭간 국제공항,BPN,Indonesia,인도네시아,Balikpapan
소엑카르노 하타 국제공항,CGK,Indonesia,인도네시아,Jakarta
삼 라투라기 국제공항,MDC,Indonesia,인도네시아,Manado
쿠알라룸푸 국제 공항,KNO,Indonesia,인도네시아,Medan
미낭카바우 국제공항,PDG,Indonesia,인도네시아,Padang
아디 수마르모 국제공항,SOC,Indonesia,인도네시아,Surakarta
사다르 발랍하이 파텔 국제공항 ,AMD,India,인도,Ahmedabad
벵갈루루 국제공항,BLR,India,인도,Bangalore
칼리컷 국제공항 ,CCJ,India,인도,Calicut
코친 국제공항,COK,India,인도,Cochin
라지브간디 국제공항 ,HYD,India,인도,Hyderabad
데비 아힐야바이 홀카 국제공항 ,IDR,India,인도,Indore
칸누르 국제공항,CNN,India,인도,Kannur
첸나이 국제공항,MAA,India,인도,Madras
채해트라피티 시버지 국제공항,BOM,India,인도,Mumbai
암베드카 국제공항 ,NAG,India,인도,Nagpur
인디라 간디 국제공항,DEL,India,인도,New Delhi
트리반드럼 국제공항,TRV,India,인도,Trivandrum
빌라노바 알벵가 국제공항 ,ALL,Italy,이탈리아,Albenga
바리 카롤 워틸랴 국제공항 ,BRI,Italy,이탈리아,Bari
나폴리 국제공항,NAP,Italy,이탈리아,Naples
우브르조 국제공항 ,PSR,Italy,이탈리아,Pescara
투린 국제공항 국제공항,TRN,Italy,이탈리아,Turin
마르코 폴로 국제공항,VCE,Italy,이탈리아,Venice
아스완국제공항,ASW,Egypt,이집트,Aswan
카이로 국제공항,CAI,Egypt,이집트,Cairo
Al Alamain 국제 공항,DBB,Egypt,이집트,El Dabaa
허가다 국제공항,HRG,Egypt,이집트,Hurghada
오피라 국제공항,SSH,Egypt,이집트,Sharm El Sheikh
Sohag 국제공항,HMB,Egypt,이집트,Sohag
타바 국제공항,TCP,Egypt,이집트,Taba
반다르압바스 국제공항,BND,Iran,이란,Bandar Abbas
이스파한 국제공항 ,IFN,Iran,이란,Isfahan
라르스탄 국제공항,LRR,Iran,이란,Larestan
마슈하드 국제공항 ,MHD,Iran,이란,Mashhad
쉬라즈 국제공항 ,SYZ,Iran,이란,Shiraz
타브리즈 국제공항,TBZ,Iran,이란,Tabriz
아맘 호메이티 국제공항,IKA,Iran,이란,Tehran
자히단 국제공항,ZAH,Iran,이란,Zahedan
에르빌 국제공항,EBL,Iraq,이라크,Erbil
하이파 국제공항 ,HFA,Israel,웨스트뱅크,Haifa
반구리온 국제공항,TLV,Israel,웨스트뱅크,Tel-Aviv
드네프로페트로브스크 국제공항,DNK,Ukraine,우크라이나,Dnepropetrovsk
카르키브 오스노바 국제공항,HRK,Ukraine,우크라이나,Kharkiv
헤르손 국제 공항,KHE,Ukraine,우크라이나,Kherson
폴 타바 국제 공항,PLV,Ukraine,우크라이나,Poltava
Havryshivka Vinnytsia 국제 공항,VIN,Ukraine,우크라이나,Vinnytsia
나보이 국제공항,NVI,Uzbekistan,우즈베키스탄,Navoiy
타슈켄트 국제 공항,TAS,Uzbekistan,우즈베키스탄,Tashkent
캡튼 코르베타 CA 쿠르벨로 국제공항,PDP,Uruguay,우루과이,Punta del Este
엔테베 / 캄팔라 국제공항,EBB,Uganda,우간다,Entebbe
퀸 알리아 국제공항,AMM,Jordan,요르단,Amman
골로슨 국제공항 ,LCE,Honduras,온두라스,La Ceiba
후안 마누엘 갈베즈 국제공항,RTB,Honduras,온두라스,Roatan
비엔나 국제공항,VIE,Austria,오스트리아,Vienna
애들레이드 국제공항,ADL,Australia,오스트레일리아,Adelaide
브리즈번 국제공항,BNE,Australia,오스트레일리아,Brisbane
브룸 국제공항,BME,Australia,오스트레일리아,Broome
케언스 국제공항,CNS,Australia,오스트레일리아,Cairns
캔버라 국제공항,CBR,Australia,오스트레일리아,Canberra
다윈 국제공항,DRW,Australia,오스트레일리아,Darwin
호바트 국제공항,HBA,Australia,오스트레일리아,Hobart
퍼스 국제공항,PER,Australia,오스트레일리아,Perth
포트헤드랜드 국제공항,PHE,Australia,오스트레일리아,Port Hedland
타운스빌 국제공항,TSV,Australia,오스트레일리아,Townsville
시이브 국제공항,MCT,Oman,오만,Muscat
벨파스트 국제공항,BFS,United Kingdom,영국,Belfast
버밍햄 국제공항,BHX,United Kingdom,영국,Birmingham
본머스 국제공항,BOH,United Kingdom,영국,Bournemouth
브리스틀 국제공항,BRS,United Kingdom,영국,Bristol
카디프 국제공항,CWL,United Kingdom,영국,Cardiff
엑서터 국제공항,EXT,United Kingdom,영국,Exeter
글래스고 국제공항,GLA,United Kingdom,영국,Glasgow
리즈 브랫포드 국제공항,LBA,United Kingdom,영국,Leeds
리드 국제공항,LYX,United Kingdom,영국,Lydd
맨체스터 국제공항,MAN,United Kingdom,영국,Manchester
뉴캐슬 국제공항,NCL,United Kingdom,영국,Newcastle
노리치 국제공항,NWI,United Kingdom,영국,Norwich
사우샘프턴 국제공항,SOU,United Kingdom,영국,Southampton
코말라파 국제공항 ,SAL,El Salvador,엘살바드로,San Salvador
시몬 볼리바 국제공항,GYE,Ecuador,에콰도르,Guayaquil
Cotopaxi 국제공항,LTX,Ecuador,에콰도르,Latacunga
엘로이 알파로 국제공항,MEC,Ecuador,에콰도르,Manta
마리스칼 수쿠레 국제공항,UIO,Ecuador,에콰도르,Quito
아스마라 국제공항,ASM,Eritrea,에리트레아,Asmara
하이다르 알리예프 국제 공항,GYD,Azerbaijan,아제르바이잔,Baku
코크 국제공항,ORK,Ireland,아일랜드,Cork
더블린 국제공항,DUB,Ireland,아일랜드,Dublin
케이플라비크 국제공항,KEF,Iceland,아이슬란드,Keflavik
Comandante Armando Tola 국제 공항,FTE,Argentina,아르헨티나,El Calafate
카타라타스 국제공항 ,IGR,Argentina,아르헨티나,Iguazu
아스토 피아졸라 국제공항 ,MDQ,Argentina,아르헨티나,Mar Del Plata
레시스텐시아 국제공항,RES,Argentina,아르헨티나,Resistencia
산카를로스데바릴로체 국제공항,BRC,Argentina,아르헨티나,San Carlos De Bariloche
산페르난도 국제공항,FDO,Argentina,아르헨티나,San Fernando
타트 제네랄 벤쟈민 마티엔조 국제공항,TUC,Argentina,아르헨티나,Tucuman
쉬락 국제공항,LWN,Armenia,아르메니아,Gyumri
즈바노츠 국제공항 ,EVN,Armenia,아르메니아,Yerevan
프린세스 훌리아나 국제공항,SXM,Sint Maarten (Dutch Part) ,신트마르턴,Sint Maarten
런자이 국제공항,FNA,Sierra Leone,시에라리온,Freetown
알메리아 국제공항,LEI,Spain,스페인,Almerta
바라하스 국제공항,MAD,Spain,스페인,Madrid
산티아고 공항,SCQ,Spain,스페인,Santiago
그라나다 공항,GRX,Spain,스페인,Granada
바르셀로나 국제공항,BCN,Spain,스페인,Barcelona
비고 피내이더 국제공항,VGO,Spain,스페인,Vigo
제네바 국제공항 ,GVA,Switzerland,스위스,Geneva
취리히 국제공항,ZRH,Switzerland,스위스,Zurich
밴다라나이크 국제공항,CMB,Sri Lanka,스리랑카,Colombo
잰더리지 국제공항 ,PBM,Suriname,수리남,Paramaribo
세이셸 국제공항,SEZ,Seychelles,세이셸,Victoria
벨그라드 국제공항,BEG,Serbia and Montenegro,세르비아,Belgrade
블레즈 디아뉴 국제공항,DSS,Senegal,세네갈,Diass
살라자르국제공항,TMS,Sao Tome and Principe,상투메프린시페,Sao Tome
킹 파야드 국제공항,DMM,Saudi Arabia,사우디아라비아,Dammam
킹 압둘아지즈 국제공항,JED,Saudi Arabia,사우디아라비아,Jeddah
킹 칼리드 국제공항,RUH,Saudi Arabia,사우디아라비아,Riyadh
탄크레도 니브스 국제공항 ,CNF,Brazil,브라질,Belo Horizonte
브라질리아 국제공항,BSB,Brazil,브라질,Brasilia
플라시드드카스트로 국제공항,RBR,Brazil,브라질,Rio Branco
리우데자네이루 국제공항 ,GIG,Brazil,브라질,Rio De Janeiro
과룰하스 국제공항,GRU,Brazil,브라질,Sao Paulo
바르나 국제공항,VAR,Bulgaria,불가리아,Varna
로타 국제공항,ROP,Northern Mariana Islands,북마리아나제도,Rota
사이판 섬 국제공항,SPN,Northern Mariana Islands,북마리아나제도,Saipan
티니안 국제공항,TIQ,Northern Mariana Islands,북마리아나제도,Tinian
부줌부라 국제공항,BJM,Burundi,부룬디,Bujumbura
비루 비루 국제공항,VVI,Bolivia,볼리비아,Santa Cruz
서 서츠 카마 국제공항,GBE,Botswana,보츠와나,Gaborone
바냐루카 국제공항,BNX,Bosnia and Herzegovina,보스니아 헤르체고비나,Banja Luka
모스타르 국제공항,OMO,Bosnia and Herzegovina,보스니아 헤르체고비나,Mostar
투즐라 국제공항,TZL,Bosnia and Herzegovina,보스니아 헤르체고비나,Tuzla
민스크 2 국제공항,MSQ,Belarus,벨로루시,Minsk
앤트워프 국제공항 ,ANR,Belgium,벨기에,Antwerp
오스텐 브루즈 국제공항,OST,Belgium,벨기에,Ostend
다낭 국제공항,DAD,Viet Nam,베트남,Da Nang
시몬 볼리바 국제공항 ,CCS,Venezuela,베네수엘라,Caracas
엘에프 웨이드 국제공항 ,BDA,Bermuda,버뮤다제도,Bermuda
바레인 국제공항,BAH,Bahamas,바하마,Bahrain
나사우 국제공항,NAS,Bahamas,바하마,Nassau
그랜틀리 아담스 국제공항,BGI,Barbados,바베이도스,Bridgetown
올버니 국제공항,ALB,United States,미국,Albany NY
알렉산드리아 국제공항,AEX,United States,미국,Alexandria LA
리하이 밸리 국제공항,ABE,United States,미국,Allentown PA
테드 스티븐스 국제공항 ,ANC,United States,미국,Anchorage AK
하츠필드 잭슨 애틀랜타 국제공항,ATL,United States,미국,Atlanta GA
애틀랜틱시티 국제공항,ACY,United States,미국,Atlantic City NJ
오스틴 벅스트롬 국제공항,AUS,United States,미국,Austin TX
볼티모어 워싱턴 국제공항 ,BWI,United States,미국,Baltimore MD
뱅거 국제공항,BGR,United States,미국,Bangor ME
벨링헴 국제공항,BLI,United States,미국,Bellingham WA
빌링스 로건 국제공항,BIL,United States,미국,Billings MT
버밍햄 셔틀워스 국제공항,BHM,United States,미국,Birmingham AL
로건 국제공항,BOS,United States,미국,Boston MA
브라운스빌 사우스 파드레 아일랜드 국제공항,BRO,United States,미국,Brownsville TX
버펄로 나이아가라 국제공항,BUF,United States,미국,Buffalo NY
벌링턴 국제공항,BTV,United States,미국,Burlington VT
내트로나 카운티 국제공항,CPR,United States,미국,Casper WY
찰스턴 국제공항 ,CHS,United States,미국,Charleston SC
샬럿 더글라스 국제공항,CLT,United States,미국,Charlotte NC
오헤어 국제공항,ORD,United States,미국,Chicago IL
신시내티 노던 켄터키 국제공항,CVG,United States,미국,Cincinnati OH
클리블랜드 홉킨스 국제공항,CLE,United States,미국,Cleveland OH
포트 콜럼버스 국제공항,CMH,United States,미국,Columbus OH
코퍼스크리스티 국제공항,CRP,United States,미국,Corpus Christi TX
